Year,Average
1874,6.9
1875,0.0
1876,0.0
1877,0.0
1878,7.4
1879,0.0
1880,0.0
1881,5.2
1882,0.0
1883,6.4
1884,0.0
1885,5.2
1886,0.0
1887,4.688888888888889
1888,6.220000000000001
1889,5.4
1890,5.183333333333334
1891,4.89
1892,5.344444444444444
1893,4.866666666666666
1894,4.894845360824741
1895,4.936206896551725
1896,4.8283185840708
1897,4.64014184397163
1898,4.681791907514451
1899,5.067330677290835
1900,5.2586080586080595
1901,5.316740088105731
1902,5.319796954314717
1903,5.131835205992512
1904,5.209333333333333
1905,5.299999999999999
1906,5.294999999999999
1907,5.580104712041884
1908,5.513620071684583
1909,5.222929936305731
1910,5.329682997118158
1911,5.345329670329668
1912,5.380400000000008
1913,5.508201058201057
1914,5.763112391930833
1915,5.794835680751175
1916,5.8185863874345545
1917,5.828608923884511
1918,5.914714714714714
1919,5.904749340369395
1920,5.8451690821256115
1921,6.034146341463415
1922,5.968217054263565
1923,6.065550239234449
1924,6.160356347438752
1925,6.056034482758624
1926,6.09105180533752
1927,6.119230769230763
1928,6.234472934472932
1929,6.097742363877826
1930,5.918142076502734
1931,6.028460038986361
1932,6.078825622775804
1933,6.1131250000000055
1934,6.045000000000005
1935,6.085375191424203
1936,6.151102941176469
1937,6.206199261992616
1938,6.202569750367096
1939,6.2460998439937665
1940,6.245604395604392
1941,6.2258914728682235
1942,6.237616099071199
1943,6.258985024958399
1944,6.211398467432946
1945,6.25276329509907
1946,6.397621313035208
1947,6.399448022079124
1948,6.446374367622266
1949,6.395294117647066
1950,6.3745207173778615
1951,6.463120143454881
1952,6.595685670261947
1953,6.714733127481261
1954,6.708577680525159
1955,6.84027426921689
1956,6.815753188555663
1957,6.81629321382842
1958,6.934435342305443
1959,6.986694279057729
1960,7.063697803524013
1961,7.053948287910557
1962,7.0158017644006065
1963,6.988586387434556
1964,6.925294825511425
1965,6.837430282999373
1966,6.886937561942527
1967,6.831957975167134
1968,6.831082953870531
1969,6.820893833679089
1970,6.709676190476209
1971,6.6191580588579155
1972,6.654475605071078
1973,6.643662504729461
1974,6.73493474560242
1975,6.7313357819447015
1976,6.758799479650629
1977,6.799169588484932
1978,6.782222977566275
1979,6.7226629361421875
1980,6.677236633139209
1981,6.703517241379287
1982,6.745840103997387
1983,6.74370359145326
1984,6.720439469320054
1985,6.7381318136769055
1986,6.7442411591355516
1987,6.760571637962613
1988,6.707931570762047
1989,6.738074548364929
1990,6.761487338146002
1991,6.822074528516242
1992,6.775968222442908
1993,6.811364100469658
1994,6.799468085106394
1995,6.783711951153794
1996,6.785681197783111
1997,6.739541915488693
1998,6.728648190045226
1999,6.739580585597474
2000,6.774842505646049
2001,6.8184122861498695
2002,6.798574748257177
2003,6.784134615384624
2004,6.798213597224024
2005,6.8027685781267895
2006,6.797936365518669
2007,6.8045699112570635
2008,6.762432215304263
2009,6.879125366248952
2010,6.940514440966342
2011,6.991418476838607
2012,7.045611450737821
2013,7.005948932648499
2014,7.075219065164508
2015,7.082936408836044
2016,7.126522035923003
2017,7.164965780126537
2018,7.168033369238798
2019,7.324168357892938
